 minimum eigenvalues =  0.20280641186861459 0.21941481797189319 0.22985457885597677
 maximum eigenvalues =  3225.384472640475 481.72765559786103 350.03170853490155
 num eigs kept =  63
 iter     1 lrate =  0.0500000000 LL =  -1.8623230418 nd =  0.0413469210, D =   0.16978E-01  0.16978E-01  (  5.93 s,   3.3 h)
 iter    92 lrate =  1.0000000000 LL =  -1.7868283474 nd =  0.0012856210, D =   0.49949E-01  0.49949E-01  (  3.29 s,   1.7 h)
 iter    93 lrate =  1.0000000000 LL =  -1.7866739984 nd =  0.0013166639, D =   0.51705E-01  0.51705E-01  (  3.42 s,   1.8 h)
 iter    94 lrate =  1.0000000000 LL =  -1.7865042246 nd =  0.0013807952, D =   0.53269E-01  0.53269E-01  (  3.95 s,   2.1 h)
 iter    95 lrate =  1.0000000000 LL =  -1.7863098791 nd =  0.0014666531, D =   0.54557E-01  0.54557E-01  (  3.41 s,   1.8 h)
 iter    96 lrate =  1.0000000000 LL =  -1.7860813481 nd =  0.0015477971, D =   0.55613E-01  0.55613E-01  (  3.29 s,   1.7 h)
 iter    97 lrate =  1.0000000000 LL =  -1.7858161935 nd =  0.0015931712, D =   0.56476E-01  0.56476E-01  (  3.36 s,   1.8 h)
 iter    98 lrate =  1.0000000000 LL =  -1.7855207345 nd =  0.0015791427, D =   0.57228E-01  0.57228E-01  (  3.45 s,   1.8 h)
 iter    99 lrate =  1.0000000000 LL =  -1.7852133871 nd =  0.0014925328, D =   0.57927E-01  0.57927E-01  (  3.33 s,   1.8 h)
 iter   100 lrate =  1.0000000000 LL =  -1.7849169990 nd =  0.0013614333, D =   0.58666E-01  0.58666E-01  (  3.41 s,   1.8 h)
 iter   101 lrate =  1.0000000000 LL =  -1.7848565824 nd =  0.0013592425, D =   0.58666E-01  0.58666E-01  (  3.49 s,   1.8 h)
 iter   102 lrate =  1.0000000000 LL =  -1.7848237360 nd =  0.0013548332, D =   0.58666E-01  0.58666E-01  (  3.41 s,   1.8 h)
 iter   103 lrate =  1.0000000000 LL =  -1.7847988546 nd =  0.0013530378, D =   0.58666E-01  0.58666E-01  (  3.34 s,   1.8 h)
 iter   104 lrate =  1.0000000000 LL =  -1.7847774944 nd =  0.0013522095, D =   0.58666E-01  0.58666E-01  (  3.34 s,   1.8 h)
 iter   105 lrate =  1.0000000000 LL =  -1.7847583658 nd =  0.0013519007, D =   0.58666E-01  0.58666E-01  (  3.37 s,   1.8 h)
 iter   106 lrate =  1.0000000000 LL =  -1.7847407815 nd =  0.0013518449, D =   0.58666E-01  0.58666E-01  (  3.38 s,   1.8 h)
 iter   107 lrate =  1.0000000000 LL =  -1.7844918972 nd =  0.0012234229, D =   0.60104E-01  0.60104E-01  (  3.22 s,   1.7 h)
 iter   108 lrate =  1.0000000000 LL =  -1.7842753036 nd =  0.0010603865, D =   0.61523E-01  0.61523E-01  (  3.24 s,   1.7 h)
 iter   109 lrate =  1.0000000000 LL =  -1.7840996735 nd =  0.0009402771, D =   0.62874E-01  0.62874E-01  (  3.28 s,   1.7 h)
 iter   110 lrate =  1.0000000000 LL =  -1.7839567740 nd =  0.0008470220, D =   0.64131E-01  0.64131E-01  (  3.29 s,   1.7 h)
 iter   111 lrate =  1.0000000000 LL =  -1.7838425054 nd =  0.0007760027, D =   0.65300E-01  0.65300E-01  (  3.38 s,   1.8 h)
 iter   112 lrate =  1.0000000000 LL =  -1.7837502119 nd =  0.0007275870, D =   0.66373E-01  0.66373E-01  (  4.00 s,   2.1 h)
 iter   113 lrate =  1.0000000000 LL =  -1.7836743784 nd =  0.0006923645, D =   0.67345E-01  0.67345E-01  (  3.33 s,   1.7 h)
 iter   114 lrate =  1.0000000000 LL =  -1.7836112195 nd =  0.0006681669, D =   0.68220E-01  0.68220E-01  (  3.29 s,   1.7 h)
 iter   115 lrate =  1.0000000000 LL =  -1.7835574394 nd =  0.0006510114, D =   0.69001E-01  0.69001E-01  (  3.23 s,   1.7 h)
 iter   116 lrate =  1.0000000000 LL =  -1.7835102333 nd =  0.0006386906, D =   0.69698E-01  0.69698E-01  (  3.34 s,   1.7 h)
 iter   117 lrate =  1.0000000000 LL =  -1.7834680943 nd =  0.0006302051, D =   0.70321E-01  0.70321E-01  (  3.25 s,   1.7 h)
 iter   118 lrate =  1.0000000000 LL =  -1.7834296184 nd =  0.0006239303, D =   0.70877E-01  0.70877E-01  (  3.27 s,   1.7 h)
 iter   119 lrate =  1.0000000000 LL =  -1.7833937945 nd =  0.0006177748, D =   0.71373E-01  0.71373E-01  (  3.26 s,   1.7 h)
 iter   120 lrate =  1.0000000000 LL =  -1.7833601521 nd =  0.0006132712, D =   0.71818E-01  0.71818E-01  (  3.30 s,   1.7 h)
 iter   121 lrate =  1.0000000000 LL =  -1.7833281347 nd =  0.0006082564, D =   0.72215E-01  0.72215E-01  (  3.47 s,   1.8 h)
 iter   122 lrate =  1.0000000000 LL =  -1.7832975414 nd =  0.0006043697, D =   0.72569E-01  0.72569E-01  (  3.23 s,   1.7 h)
 iter   123 lrate =  1.0000000000 LL =  -1.7832679199 nd =  0.0006012771, D =   0.72884E-01  0.72884E-01  (  3.22 s,   1.7 h)
 iter   124 lrate =  1.0000000000 LL =  -1.7832391447 nd =  0.0005976167, D =   0.73168E-01  0.73168E-01  (  3.27 s,   1.7 h)
 iter   125 lrate =  1.0000000000 LL =  -1.7832110828 nd =  0.0005947267, D =   0.73421E-01  0.73421E-01  (  3.23 s,   1.7 h)
 iter   126 lrate =  1.0000000000 LL =  -1.7831836005 nd =  0.0005925193, D =   0.73652E-01  0.73652E-01  (  3.30 s,   1.7 h)
 iter   127 lrate =  1.0000000000 LL =  -1.7831567116 nd =  0.0005910143, D =   0.73861E-01  0.73861E-01  (  3.29 s,   1.7 h)
 iter   128 lrate =  1.0000000000 LL =  -1.7831301973 nd =  0.0005894216, D =   0.74049E-01  0.74049E-01  (  3.30 s,   1.7 h)
 iter   129 lrate =  1.0000000000 LL =  -1.7831040905 nd =  0.0005883129, D =   0.74220E-01  0.74220E-01  (  3.34 s,   1.7 h)
 iter   130 lrate =  1.0000000000 LL =  -1.7830782743 nd =  0.0005869320, D =   0.74374E-01  0.74374E-01  (  3.33 s,   1.7 h)
 iter   131 lrate =  1.0000000000 LL =  -1.7830527546 nd =  0.0005867796, D =   0.74514E-01  0.74514E-01  (  4.02 s,   2.1 h)
 iter   132 lrate =  1.0000000000 LL =  -1.7830274963 nd =  0.0005878143, D =   0.74643E-01  0.74643E-01  (  3.20 s,   1.7 h)
 iter   133 lrate =  1.0000000000 LL =  -1.7830023667 nd =  0.0005906841, D =   0.74758E-01  0.74758E-01  (  3.40 s,   1.8 h)
 iter   134 lrate =  1.0000000000 LL =  -1.7829771783 nd =  0.0005957701, D =   0.74861E-01  0.74861E-01  (  3.25 s,   1.7 h)
 iter   135 lrate =  1.0000000000 LL =  -1.7829519115 nd =  0.0006015145, D =   0.74959E-01  0.74959E-01  (  3.19 s,   1.7 h)
 iter   136 lrate =  1.0000000000 LL =  -1.7829263762 nd =  0.0006086631, D =   0.75049E-01  0.75049E-01  (  3.36 s,   1.7 h)
 iter   137 lrate =  1.0000000000 LL =  -1.7829004590 nd =  0.0006171215, D =   0.75133E-01  0.75133E-01  (  3.30 s,   1.7 h)
